study_run,condition,operator_slot,role,sequence_position,task_slot,dataset_variant,case_id,elapsed_seconds,outcome,penalty_seconds,validity_note
UNASSIGNED,baseline,O01,veterinario,1,T01,A,A-T01,,,,
UNASSIGNED,baseline,O01,veterinario,2,T02,A,A-T02,,,,
UNASSIGNED,baseline,O01,veterinario,3,T03,A,A-T03,,,,
UNASSIGNED,baseline,O01,veterinario,4,T04,A,A-T04,,,,
UNASSIGNED,baseline,O01,veterinario,5,T05,A,A-T05,,,,
UNASSIGNED,baseline,O01,veterinario,6,T06,A,A-T06,,,,
UNASSIGNED,baseline,O01,veterinario,7,T07,A,A-T07,,,,
UNASSIGNED,baseline,O01,veterinario,8,T08,A,A-T08,,,,
UNASSIGNED,baseline,O01,veterinario,9,T09,A,A-T09,,,,
UNASSIGNED,baseline,O01,veterinario,10,T10,A,A-T10,,,,
UNASSIGNED,baseline,O01,veterinario,11,T11,A,A-T11,,,,
UNASSIGNED,baseline,O01,veterinario,12,T12,A,A-T12,,,,
UNASSIGNED,baseline,O01,veterinario,13,T13,A,A-T13,,,,
UNASSIGNED,baseline,O01,veterinario,14,T14,A,A-T14,,,,
UNASSIGNED,baseline,O01,veterinario,15,T15,A,A-T15,,,,
UNASSIGNED,baseline,O01,veterinario,16,T16,A,A-T16,,,,
UNASSIGNED,baseline,O01,veterinario,17,T17,A,A-T17,,,,
UNASSIGNED,baseline,O01,veterinario,18,T18,A,A-T18,,,,
UNASSIGNED,baseline,O01,veterinario,19,T19,A,A-T19,,,,
UNASSIGNED,baseline,O01,veterinario,20,T20,A,A-T20,,,,
UNASSIGNED,baseline,O02,veterinario,1,T05,B,B-T05,,,,
UNASSIGNED,baseline,O02,veterinario,2,T06,B,B-T06,,,,
UNASSIGNED,baseline,O02,veterinario,3,T07,B,B-T07,,,,
UNASSIGNED,baseline,O02,veterinario,4,T08,B,B-T08,,,,
UNASSIGNED,baseline,O02,veterinario,5,T09,B,B-T09,,,,
UNASSIGNED,baseline,O02,veterinario,6,T10,B,B-T10,,,,
UNASSIGNED,baseline,O02,veterinario,7,T11,B,B-T11,,,,
UNASSIGNED,baseline,O02,veterinario,8,T12,B,B-T12,,,,
UNASSIGNED,baseline,O02,veterinario,9,T13,B,B-T13,,,,
UNASSIGNED,baseline,O02,veterinario,10,T14,B,B-T14,,,,
UNASSIGNED,baseline,O02,veterinario,11,T15,B,B-T15,,,,
UNASSIGNED,baseline,O02,veterinario,12,T16,B,B-T16,,,,
UNASSIGNED,baseline,O02,veterinario,13,T17,B,B-T17,,,,
UNASSIGNED,baseline,O02,veterinario,14,T18,B,B-T18,,,,
UNASSIGNED,baseline,O02,veterinario,15,T19,B,B-T19,,,,
UNASSIGNED,baseline,O02,veterinario,16,T20,B,B-T20,,,,
UNASSIGNED,baseline,O02,veterinario,17,T01,B,B-T01,,,,
UNASSIGNED,baseline,O02,veterinario,18,T02,B,B-T02,,,,
UNASSIGNED,baseline,O02,veterinario,19,T03,B,B-T03,,,,
UNASSIGNED,baseline,O02,veterinario,20,T04,B,B-T04,,,,
UNASSIGNED,baseline,O03,segreteria,1,T09,A,A-T09,,,,
UNASSIGNED,baseline,O03,segreteria,2,T10,A,A-T10,,,,
UNASSIGNED,baseline,O03,segreteria,3,T11,A,A-T11,,,,
UNASSIGNED,baseline,O03,segreteria,4,T12,A,A-T12,,,,
UNASSIGNED,baseline,O03,segreteria,5,T13,A,A-T13,,,,
UNASSIGNED,baseline,O03,segreteria,6,T14,A,A-T14,,,,
UNASSIGNED,baseline,O03,segreteria,7,T15,A,A-T15,,,,
UNASSIGNED,baseline,O03,segreteria,8,T16,A,A-T16,,,,
UNASSIGNED,baseline,O03,segreteria,9,T17,A,A-T17,,,,
UNASSIGNED,baseline,O03,segreteria,10,T18,A,A-T18,,,,
UNASSIGNED,baseline,O03,segreteria,11,T19,A,A-T19,,,,
UNASSIGNED,baseline,O03,segreteria,12,T20,A,A-T20,,,,
UNASSIGNED,baseline,O03,segreteria,13,T01,A,A-T01,,,,
UNASSIGNED,baseline,O03,segreteria,14,T02,A,A-T02,,,,
UNASSIGNED,baseline,O03,segreteria,15,T03,A,A-T03,,,,
UNASSIGNED,baseline,O03,segreteria,16,T04,A,A-T04,,,,
UNASSIGNED,baseline,O03,segreteria,17,T05,A,A-T05,,,,
UNASSIGNED,baseline,O03,segreteria,18,T06,A,A-T06,,,,
UNASSIGNED,baseline,O03,segreteria,19,T07,A,A-T07,,,,
UNASSIGNED,baseline,O03,segreteria,20,T08,A,A-T08,,,,
UNASSIGNED,baseline,O04,segreteria,1,T13,B,B-T13,,,,
UNASSIGNED,baseline,O04,segreteria,2,T14,B,B-T14,,,,
UNASSIGNED,baseline,O04,segreteria,3,T15,B,B-T15,,,,
UNASSIGNED,baseline,O04,segreteria,4,T16,B,B-T16,,,,
UNASSIGNED,baseline,O04,segreteria,5,T17,B,B-T17,,,,
UNASSIGNED,baseline,O04,segreteria,6,T18,B,B-T18,,,,
UNASSIGNED,baseline,O04,segreteria,7,T19,B,B-T19,,,,
UNASSIGNED,baseline,O04,segreteria,8,T20,B,B-T20,,,,
UNASSIGNED,baseline,O04,segreteria,9,T01,B,B-T01,,,,
UNASSIGNED,baseline,O04,segreteria,10,T02,B,B-T02,,,,
UNASSIGNED,baseline,O04,segreteria,11,T03,B,B-T03,,,,
UNASSIGNED,baseline,O04,segreteria,12,T04,B,B-T04,,,,
UNASSIGNED,baseline,O04,segreteria,13,T05,B,B-T05,,,,
UNASSIGNED,baseline,O04,segreteria,14,T06,B,B-T06,,,,
UNASSIGNED,baseline,O04,segreteria,15,T07,B,B-T07,,,,
UNASSIGNED,baseline,O04,segreteria,16,T08,B,B-T08,,,,
UNASSIGNED,baseline,O04,segreteria,17,T09,B,B-T09,,,,
UNASSIGNED,baseline,O04,segreteria,18,T10,B,B-T10,,,,
UNASSIGNED,baseline,O04,segreteria,19,T11,B,B-T11,,,,
UNASSIGNED,baseline,O04,segreteria,20,T12,B,B-T12,,,,
UNASSIGNED,baseline,O05,da_confermare,1,T17,A,A-T17,,,,
UNASSIGNED,baseline,O05,da_confermare,2,T18,A,A-T18,,,,
UNASSIGNED,baseline,O05,da_confermare,3,T19,A,A-T19,,,,
UNASSIGNED,baseline,O05,da_confermare,4,T20,A,A-T20,,,,
UNASSIGNED,baseline,O05,da_confermare,5,T01,A,A-T01,,,,
UNASSIGNED,baseline,O05,da_confermare,6,T02,A,A-T02,,,,
UNASSIGNED,baseline,O05,da_confermare,7,T03,A,A-T03,,,,
UNASSIGNED,baseline,O05,da_confermare,8,T04,A,A-T04,,,,
UNASSIGNED,baseline,O05,da_confermare,9,T05,A,A-T05,,,,
UNASSIGNED,baseline,O05,da_confermare,10,T06,A,A-T06,,,,
UNASSIGNED,baseline,O05,da_confermare,11,T07,A,A-T07,,,,
UNASSIGNED,baseline,O05,da_confermare,12,T08,A,A-T08,,,,
UNASSIGNED,baseline,O05,da_confermare,13,T09,A,A-T09,,,,
UNASSIGNED,baseline,O05,da_confermare,14,T10,A,A-T10,,,,
UNASSIGNED,baseline,O05,da_confermare,15,T11,A,A-T11,,,,
UNASSIGNED,baseline,O05,da_confermare,16,T12,A,A-T12,,,,
UNASSIGNED,baseline,O05,da_confermare,17,T13,A,A-T13,,,,
UNASSIGNED,baseline,O05,da_confermare,18,T14,A,A-T14,,,,
UNASSIGNED,baseline,O05,da_confermare,19,T15,A,A-T15,,,,
UNASSIGNED,baseline,O05,da_confermare,20,T16,A,A-T16,,,,
UNASSIGNED,pilot,O01,veterinario,1,T11,B,B-T11,,,,
UNASSIGNED,pilot,O01,veterinario,2,T12,B,B-T12,,,,
UNASSIGNED,pilot,O01,veterinario,3,T13,B,B-T13,,,,
UNASSIGNED,pilot,O01,veterinario,4,T14,B,B-T14,,,,
UNASSIGNED,pilot,O01,veterinario,5,T15,B,B-T15,,,,
UNASSIGNED,pilot,O01,veterinario,6,T16,B,B-T16,,,,
UNASSIGNED,pilot,O01,veterinario,7,T17,B,B-T17,,,,
UNASSIGNED,pilot,O01,veterinario,8,T18,B,B-T18,,,,
UNASSIGNED,pilot,O01,veterinario,9,T19,B,B-T19,,,,
UNASSIGNED,pilot,O01,veterinario,10,T20,B,B-T20,,,,
UNASSIGNED,pilot,O01,veterinario,11,T01,B,B-T01,,,,
UNASSIGNED,pilot,O01,veterinario,12,T02,B,B-T02,,,,
UNASSIGNED,pilot,O01,veterinario,13,T03,B,B-T03,,,,
UNASSIGNED,pilot,O01,veterinario,14,T04,B,B-T04,,,,
UNASSIGNED,pilot,O01,veterinario,15,T05,B,B-T05,,,,
UNASSIGNED,pilot,O01,veterinario,16,T06,B,B-T06,,,,
UNASSIGNED,pilot,O01,veterinario,17,T07,B,B-T07,,,,
UNASSIGNED,pilot,O01,veterinario,18,T08,B,B-T08,,,,
UNASSIGNED,pilot,O01,veterinario,19,T09,B,B-T09,,,,
UNASSIGNED,pilot,O01,veterinario,20,T10,B,B-T10,,,,
UNASSIGNED,pilot,O02,veterinario,1,T15,A,A-T15,,,,
UNASSIGNED,pilot,O02,veterinario,2,T16,A,A-T16,,,,
UNASSIGNED,pilot,O02,veterinario,3,T17,A,A-T17,,,,
UNASSIGNED,pilot,O02,veterinario,4,T18,A,A-T18,,,,
UNASSIGNED,pilot,O02,veterinario,5,T19,A,A-T19,,,,
UNASSIGNED,pilot,O02,veterinario,6,T20,A,A-T20,,,,
UNASSIGNED,pilot,O02,veterinario,7,T01,A,A-T01,,,,
UNASSIGNED,pilot,O02,veterinario,8,T02,A,A-T02,,,,
UNASSIGNED,pilot,O02,veterinario,9,T03,A,A-T03,,,,
UNASSIGNED,pilot,O02,veterinario,10,T04,A,A-T04,,,,
UNASSIGNED,pilot,O02,veterinario,11,T05,A,A-T05,,,,
UNASSIGNED,pilot,O02,veterinario,12,T06,A,A-T06,,,,
UNASSIGNED,pilot,O02,veterinario,13,T07,A,A-T07,,,,
UNASSIGNED,pilot,O02,veterinario,14,T08,A,A-T08,,,,
UNASSIGNED,pilot,O02,veterinario,15,T09,A,A-T09,,,,
UNASSIGNED,pilot,O02,veterinario,16,T10,A,A-T10,,,,
UNASSIGNED,pilot,O02,veterinario,17,T11,A,A-T11,,,,
UNASSIGNED,pilot,O02,veterinario,18,T12,A,A-T12,,,,
UNASSIGNED,pilot,O02,veterinario,19,T13,A,A-T13,,,,
UNASSIGNED,pilot,O02,veterinario,20,T14,A,A-T14,,,,
