task_slot,difficulty,baseline_case_id,baseline_prompt,baseline_expected_visit,prototype_case_id,prototype_prompt,prototype_expected_visit
T01,base,A-T01,"Apri Alba Riva; per Nilo trova la visita più recente relativa a una vaccinazione.",A-V104 2026-06-18,B-T01,"Apri Bruno Sala; per Mira trova la visita più recente relativa a una vaccinazione.",B-V204 2026-07-09
T02,base,A-T02,"Apri Ciro Neri; per Teo trova l'ultima visita di controllo.",A-V112 2026-05-02,B-T02,"Apri Daria Fonti; per Zoe trova l'ultima visita di controllo.",B-V212 2026-05-21
T03,base,A-T03,"Apri Elia Costa; per Luna trova la visita con descrizione contenente richiamo.",A-V123 2025-11-12,B-T03,"Apri Flora Galli; per Pepe trova la visita con descrizione contenente richiamo.",B-V223 2025-12-03
T04,base,A-T04,"Apri Gina Riva; per Otto trova la visita del 4 febbraio 2026.",A-V134 2026-02-04,B-T04,"Apri Ivo Sala; per Kira trova la visita del 6 marzo 2026.",B-V234 2026-03-06
T05,base,A-T05,"Apri Lia Monti; per Milo trova la visita più recente entro il 31 dicembre 2025.",A-V145 2025-12-20,B-T05,"Apri Mara Valli; per Argo trova la visita più recente entro il 31 gennaio 2026.",B-V245 2026-01-17
T06,base,A-T06,"Apri Nino Bassi; per Lea trova la prima visita dal 1 aprile 2026 in ordine mostrato.",A-V156 2026-06-03,B-T06,"Apri Olga Pini; per Ugo trova la prima visita dal 1 maggio 2026 in ordine mostrato.",B-V256 2026-07-01
T07,media,A-T07,"Apri Piero Mori; per Eva cerca letteralmente controllo post-operatorio.",A-V167 2026-03-14,B-T07,"Apri Rita Longo; per Timo cerca letteralmente controllo post-operatorio.",B-V267 2026-04-11
T08,media,A-T08,"Apri Sara Fiori; per Paco cerca la descrizione contenente [a-z].",A-V178 2025-09-08,B-T08,"Apri Tullio Serra; per Dora cerca la descrizione contenente [a-z].",B-V278 2025-10-06
T09,media,A-T09,"Apri Ugo Lodi; per Mia cerca la descrizione contenente il carattere punto.",A-V189 2026-01-19,B-T09,"Apri Vera Rosi; per Leo cerca la descrizione contenente il carattere punto.",B-V289 2026-02-16
T10,media,A-T10,"Apri Ada Meli; per Neve cerca È stabile.",A-V190 2026-04-22,B-T10,"Apri Berto Riva; per Sole cerca È regolare.",B-V290 2026-05-20
T11,media,A-T11,"Apri Carlo Sala; per Iris cerca e stabile e indica se esiste una corrispondenza.",A-NONE,B-T11,"Apri Dina Neri; per Pino cerca e regolare e indica se esiste una corrispondenza.",B-NONE
T12,media,A-T12,"Apri Enzo Fonti; per Runa trova la visita tra 1 e 30 giugno 2026 contenente controllo.",A-V202 2026-06-18,B-T12,"Apri Fina Costa; per Zeno trova la visita tra 1 e 31 luglio 2026 contenente controllo.",B-V302 2026-07-09
T13,media,A-T13,"Apri Gino Galli; per Lilla trova la visita fino al 15 maggio 2026 contenente terapia.",A-V213 2026-05-11,B-T13,"Apri Ilda Riva; per Toby trova la visita fino al 15 giugno 2026 contenente terapia.",B-V313 2026-06-12
T14,media,A-T14,"Apri Luca Sala; per Nina trova la visita dal 1 marzo 2026 contenente ferita.",A-V224 2026-03-14,B-T14,"Apri Mina Monti; per Rudi trova la visita dal 1 aprile 2026 contenente ferita.",B-V324 2026-04-11
T15,alta,A-T15,"Apri Nello Bassi; per Pepe scegli la più recente tra due visite dello stesso giorno.",A-V310 2026-02-04,B-T15,"Apri Onda Pini; per Lola scegli la più recente tra due visite dello stesso giorno.",B-V410 2026-03-06
T16,alta,A-T16,"Apri Pina Mori; per Zeta trova l'ultima visita valida ignorando una data impossibile.",A-V326 2026-01-28,B-T16,"Apri Rino Longo; per Yuki trova l'ultima visita valida ignorando una data impossibile.",B-V426 2026-02-25
T17,alta,A-T17,"Apri Sira Fiori; per Aria trova la visita con la descrizione lunga che contiene allergia.",A-V337 2025-12-07,B-T17,"Apri Tino Serra; per Bora trova la visita con la descrizione lunga che contiene allergia.",B-V437 2026-01-04
T18,alta,A-T18,"Apri Vito Lodi; per Kira applica 10–20 aprile 2026 e cerca controllo.",A-V348 2026-04-20,B-T18,"Apri Zita Rosi; per Nilo applica 10–20 maggio 2026 e cerca controllo.",B-V448 2026-05-20
T19,alta,A-T19,"Apri Amos Meli; per Teo cerca una frase assente e conferma il conteggio.",A-NONE,B-T19,"Apri Bea Riva; per Mira cerca una frase assente e conferma il conteggio.",B-NONE
T20,alta,A-T20,"Apri Cora Sala; per Luna azzera i filtri e indica la prima visita nell'ordine ripristinato.",A-V360 2026-06-30,B-T20,"Apri Dario Neri; per Zoe azzera i filtri e indica la prima visita nell'ordine ripristinato.",B-V460 2026-07-28
